function name,header files,return type,arguments,number of arguments,format string,POSIX api,use _GNU_SOURCE
a64l,['stdlib.h'],long,['const char *str64'],1,False,False,False
 ,['stdlib.h'],long,['const char *s'],1,False,True,False
l64a,['stdlib.h'],char *,['long value'],1,False,True,False
abort,['stdlib.h'],noreturn void,['void'],0,False,False,False
 ,['stdlib.h'],void,['void'],0,False,True,False
abs,['stdlib.h'],int,['int j'],1,False,False,False
 ,['stdlib.h'],int,['int i'],1,False,True,False
labs,['stdlib.h'],long,['long i'],1,False,True,False
llabs,['stdlib.h'],long long,['long long i'],1,False,True,False
imaxabs,['inttypes.h'],intmax_t,['intmax_t j'],1,False,True,False
accept,['sys/socket.h'],int,"['int socket', 'struct sockaddr *restrict address', 'socklen_t *restrict address_len']",3,False,True,False
access,['unistd.h'],int,"['const char *path', 'int amode']",2,False,True,False
faccessat,['unistd.h'],int,"['int fd', 'const char *path', 'int amode', 'int flag']",4,False,True,False
acl_add_perm,"['sys/types.h', 'sys/acl.h']",int,"['acl_permset_t permset_d', 'acl_perm_t perm']",2,False,False,False
acl_calc_mask,"['sys/types.h', 'sys/acl.h']",int,['acl_t *acl_p'],1,False,False,False
acl_check,"['sys/types.h', 'acl/libacl.h']",int,"['acl_t acl', 'int *last']",2,False,False,False
acl_clear_perms,"['sys/types.h', 'sys/acl.h']",int,['acl_permset_t permset_d'],1,False,False,False
acl_cmp,"['sys/types.h', 'acl/libacl.h']",int,"['acl_t acl1', 'acl_t acl2']",2,False,False,False
acl_copy_entry,"['sys/types.h', 'sys/acl.h']",int,"['acl_entry_t dest_d', 'acl_entry_t src_d']",2,False,False,False
acl_copy_ext,"['sys/types.h', 'sys/acl.h']",ssize_t,"['void *buf_p', 'acl_t acl', 'ssize_t size']",3,False,False,False
acl_copy_int,"['sys/types.h', 'sys/acl.h']",acl_t,['const void *buf_p'],1,False,False,False
acl_create_entry,"['sys/types.h', 'sys/acl.h']",int,"['acl_t *acl_p', 'acl_entry_t *entry_p']",2,False,False,False
acl_delete_def_file,"['sys/types.h', 'sys/acl.h']",int,['const char *path_p'],1,False,False,False
acl_delete_entry,"['sys/types.h', 'sys/acl.h']",int,"['acl_t acl', 'acl_entry_t entry_d']",2,False,False,False
acl_delete_perm,"['sys/types.h', 'sys/acl.h']",int,"['acl_permset_t permset_d', 'acl_perm_t perm']",2,False,False,False
acl_dup,"['sys/types.h', 'sys/acl.h']",acl_t,['acl_t acl'],1,False,False,False
acl_entries,"['sys/types.h', 'acl/libacl.h']",int,['acl_t acl'],1,False,False,False
acl_equiv_mode,"['sys/types.h', 'acl/libacl.h']",int,"['acl_t acl', 'mode_t *mode_p']",2,False,False,False
acl_error,"['sys/types.h', 'acl/libacl.h']",const char *,['int code'],1,False,False,False
acl_extended_fd,"['sys/types.h', 'acl/libacl.h']",int,['int fd'],1,False,False,False
acl_extended_file,"['sys/types.h', 'acl/libacl.h']",int,['const char *path_p'],1,False,False,False
acl_extended_file_nofollow,"['sys/types.h', 'acl/libacl.h']",int,['const char *path_p'],1,False,False,False
acl_from_mode,"['sys/types.h', 'acl/libacl.h']",acl_t,['mode_t mode'],1,False,False,False
acl_from_text,"['sys/types.h', 'sys/acl.h']",acl_t,['const char *buf_p'],1,False,False,False
acl_get_entry,"['sys/types.h', 'sys/acl.h']",int,"['acl_t acl', 'int entry_id', 'acl_entry_t *entry_p']",3,False,False,False
acl_get_fd,"['sys/types.h', 'sys/acl.h']",acl_t,['int fd'],1,False,False,False
acl_get_file,"['sys/types.h', 'sys/acl.h']",acl_t,"['const char *path_p', 'acl_type_t type']",2,False,False,False
acl_get_perm,"['sys/types.h', 'acl/libacl.h']",int,"['acl_permset_t permset_d', 'acl_perm_t perm']",2,False,False,False
acl_get_permset,"['sys/types.h', 'sys/acl.h']",int,"['acl_entry_t entry_d', 'acl_permset_t *permset_p']",2,False,False,False
acl_get_qualifier,"['sys/types.h', 'sys/acl.h']",void *,['acl_entry_t entry_d'],1,False,False,False
acl_get_tag_type,"['sys/types.h', 'sys/acl.h']",int,"['acl_entry_t entry_d', 'acl_tag_t *tag_type_p']",2,False,False,False
acl_init,"['sys/types.h', 'sys/acl.h']",acl_t,['int count'],1,False,False,False
acl_set_fd,"['sys/types.h', 'sys/acl.h']",int,"['int fd', 'acl_t acl']",2,False,False,False
acl_set_file,"['sys/types.h', 'sys/acl.h']",int,"['const char *path_p', 'acl_type_t type', 'acl_t acl']",3,False,False,False
acl_set_permset,"['sys/types.h', 'sys/acl.h']",int,"['acl_entry_t entry_d', 'acl_permset_t permset_d']",2,False,False,False
acl_set_qualifier,"['sys/types.h', 'sys/acl.h']",int,"['acl_entry_t entry_d', 'const void *qualifier_p']",2,False,False,False
acl_set_tag_type,"['sys/types.h', 'sys/acl.h']",int,"['acl_entry_t entry_d', 'acl_tag_t tag_type']",2,False,False,False
acl_size,"['sys/types.h', 'sys/acl.h']",ssize_t,['acl_t acl'],1,False,False,False
acl_to_any_text,"['sys/types.h', 'acl/libacl.h']",char *,"['acl_t acl', 'const char *prefix', 'char separator', 'int options']",4,False,False,False
acl_to_text,"['sys/types.h', 'sys/acl.h']",char *,"['acl_t acl', 'ssize_t *len_p']",2,False,False,False
acl_valid,"['sys/types.h', 'sys/acl.h']",int,['acl_t acl'],1,False,False,False
acos,['math.h'],double,['double x'],1,False,False,False
 ,['math.h'],double,['double x'],1,False,True,False
acosf,['math.h'],float,['float x'],1,False,False,False
 ,['math.h'],float,['float x'],1,False,True,False
acosl,['math.h'],long double,['long double x'],1,False,False,False
 ,['math.h'],long double,['long double x'],1,False,True,False
acosh,['math.h'],double,['double x'],1,False,False,False
 ,['math.h'],double,['double x'],1,False,True,False
acoshf,['math.h'],float,['float x'],1,False,False,False
 ,['math.h'],float,['float x'],1,False,True,False
acoshl,['math.h'],long double,['long double x'],1,False,False,False
 ,['math.h'],long double,['long double x'],1,False,True,False
addch,['curses.h'],int,['const chtype ch'],1,False,False,False
waddch,['curses.h'],int,"['WINDOW *win', 'const chtype ch']",2,False,False,False
mvaddch,['curses.h'],int,"['int y', 'int x', 'const chtype ch']",3,False,False,False
mvwaddch,['curses.h'],int,"['WINDOW *win', 'int y', 'int x', 'const chtype ch']",4,False,False,False
echochar,['curses.h'],int,['const chtype ch'],1,False,False,False
wechochar,['curses.h'],int,"['WINDOW *win', 'const chtype ch']",2,False,False,False
addchstr,['curses.h'],int,['const chtype *chstr'],1,False,False,False
addchnstr,['curses.h'],int,"['const chtype *chstr', 'int n']",2,False,False,False
waddchstr,['curses.h'],int,"['WINDOW *win', 'const chtype *chstr']",2,False,False,False
waddchnstr,['curses.h'],int,"['WINDOW *win', 'const chtype *chstr', 'int n']",3,False,False,False
mvaddchstr,['curses.h'],int,"['int y', 'int x', 'const chtype *chstr']",3,False,False,False
