function name,header files,return type,arguments,number of arguments,format string,POSIX api,use _GNU_SOURCE
a64l,['stdlib.h'],long,['const char *str64'],1,False,False,False
 ,['stdlib.h'],long,['const char *s'],1,False,True,False
abort,['stdlib.h'],noreturn void,['void'],0,False,False,False
 ,['stdlib.h'],void,['void'],0,False,True,False
abs,['stdlib.h'],int,['int j'],1,False,False,False
 ,['stdlib.h'],int,['int i'],1,False,True,False
accept,['sys/socket.h'],int,"['int socket', 'struct sockaddr *restrict address', 'socklen_t *restrict address_len']",3,False,True,False
access,['unistd.h'],int,"['const char *path', 'int amode']",2,False,True,False
acos,['math.h'],double,['double x'],1,False,False,False
 ,['math.h'],double,['double x'],1,False,True,False
acosf,['math.h'],float,['float x'],1,False,False,False
 ,['math.h'],float,['float x'],1,False,True,False
acosh,['math.h'],double,['double x'],1,False,False,False
 ,['math.h'],double,['double x'],1,False,True,False
acoshf,['math.h'],float,['float x'],1,False,False,False
 ,['math.h'],float,['float x'],1,False,True,False
acoshl,['math.h'],long double,['long double x'],1,False,False,False
 ,['math.h'],long double,['long double x'],1,False,True,False
acosl,['math.h'],long double,['long double x'],1,False,False,False
 ,['math.h'],long double,['long double x'],1,False,True,False
addmntent,"['stdio.h', 'mntent.h']",int,"['FILE *restrict stream', 'const struct mntent *restrict mnt']",2,False,False,False
addseverity,['fmtmsg.h'],int,"['int severity', 'const char *s']",2,False,False,False
adjtime,['sys/time.h'],int,"['const struct timeval *delta', 'struct timeval *olddelta']",2,False,False,False
adjtimex,['sys/timex.h'],int,['struct timex *buf'],1,False,False,False
aio_cancel,['aio.h'],int,"['int fd', 'struct aiocb *aiocbp']",2,False,False,False
 ,['aio.h'],int,"['int fildes', 'struct aiocb *aiocbp']",2,False,True,False
aio_error,['aio.h'],int,['const struct aiocb *aiocbp'],1,False,False,False
 ,['aio.h'],int,['const struct aiocb *aiocbp'],1,False,True,False
aio_fsync,['aio.h'],int,"['int op', 'struct aiocb *aiocbp']",2,False,False,False
 ,['aio.h'],int,"['int op', 'struct aiocb *aiocbp']",2,False,True,False
aio_init,['aio.h'],void,['const struct aioinit *init'],1,False,False,True
aio_read,['aio.h'],int,['struct aiocb *aiocbp'],1,False,False,False
 ,['aio.h'],int,['struct aiocb *aiocbp'],1,False,True,False
aio_return,['aio.h'],ssize_t,['struct aiocb *aiocbp'],1,False,False,False
 ,['aio.h'],ssize_t,['struct aiocb *aiocbp'],1,False,True,False
aio_suspend,['aio.h'],int,"['const struct aiocb *const aiocb_list[]', 'int nitems', 'const struct timespec *restrict timeout']",3,False,False,False
 ,['aio.h'],int,"['const struct aiocb *const list[]', 'int nent', 'const struct timespec *timeout']",3,False,True,False
aio_write,['aio.h'],int,['struct aiocb *aiocbp'],1,False,False,False
 ,['aio.h'],int,['struct aiocb *aiocbp'],1,False,True,False
alarm,['unistd.h'],unsigned,['unsigned seconds'],1,False,True,False
aligned_alloc,['stdlib.h'],void *,"['size_t alignment', 'size_t size']",2,False,False,False
alphasort,['dirent.h'],int,"['const struct dirent **a', 'const struct dirent **b']",2,False,False,False
 ,['dirent.h'],int,"['const struct dirent **d1', 'const struct dirent **d2']",2,False,True,False
argz_add,['argz.h'],error_t,"['char **restrict argz', 'size_t *restrict argz_len', 'const char *restrict str']",3,False,False,False
argz_add_sep,['argz.h'],error_t,"['char **restrict argz', 'size_t *restrict argz_len', 'const char *restrict str', 'int delim']",4,False,False,False
argz_append,['argz.h'],error_t,"['char **restrict argz', 'size_t *restrict argz_len', 'const char *restrict buf', 'size_t buf_len']",4,False,False,False
argz_count,['argz.h'],size_t,"['const char *argz', 'size_t argz_len']",2,False,False,False
argz_create,['argz.h'],error_t,"['char *const argv[]', 'char **restrict argz', 'size_t *restrict argz_len']",3,False,False,False
argz_create_sep,['argz.h'],error_t,"['const char *restrict str', 'int sep', 'char **restrict argz', 'size_t *restrict argz_len']",4,False,False,False
argz_delete,['argz.h'],void,"['char **restrict argz', 'size_t *restrict argz_len', 'char *restrict entry']",3,False,False,False
argz_extract,['argz.h'],void,"['const char *restrict argz', 'size_t argz_len', 'char **restrict argv']",3,False,False,False
argz_insert,['argz.h'],error_t,"['char **restrict argz', 'size_t *restrict argz_len', 'char *restrict before', 'const char *restrict entry']",4,False,False,False
argz_next,['argz.h'],char *,"['const char *restrict argz', 'size_t argz_len', 'const char *restrict entry']",3,False,False,False
argz_replace,['argz.h'],error_t,"['char **restrict argz', 'size_t *restrict argz_len', 'const char *restrict str', 'const char *restrict with', 'unsigned int *restrict replace_count']",5,False,False,False
argz_stringify,['argz.h'],void,"['char *argz', 'size_t len', 'int sep']",3,False,False,False
asctime,['time.h'],char *,['const struct tm *tm'],1,False,False,False
 ,['time.h'],char *,['const struct tm *timeptr'],1,False,True,False
asctime_r,['time.h'],char *,"['const struct tm *restrict tm', 'char *restrict buf']",2,False,False,False
 ,['time.h'],char *,"['const struct tm *restrict tm', 'char *restrict buf']",2,False,True,False
asin,['math.h'],double,['double x'],1,False,False,False
 ,['math.h'],double,['double x'],1,False,True,False
asinf,['math.h'],float,['float x'],1,False,False,False
 ,['math.h'],float,['float x'],1,False,True,False
asinh,['math.h'],double,['double x'],1,False,False,False
 ,['math.h'],double,['double x'],1,False,True,False
asinhf,['math.h'],float,['float x'],1,False,False,False
 ,['math.h'],float,['float x'],1,False,True,False
asinhl,['math.h'],long double,['long double x'],1,False,False,False
 ,['math.h'],long double,['long double x'],1,False,True,False
asinl,['math.h'],long double,['long double x'],1,False,False,False
 ,['math.h'],long double,['long double x'],1,False,True,False
asprintf,['stdio.h'],int,"['char **restrict strp', 'const char *restrict fmt', '...']",3 or more,False,False,True
atan,['math.h'],double,['double x'],1,False,False,False
 ,['math.h'],double,['double x'],1,False,True,False
atan2,['math.h'],double,"['double y', 'double x']",2,False,False,False
 ,['math.h'],double,"['double y', 'double x']",2,False,True,False
atan2f,['math.h'],float,"['float y', 'float x']",2,False,False,False
 ,['math.h'],float,"['float y', 'float x']",2,False,True,False
atan2l,['math.h'],long double,"['long double y', 'long double x']",2,False,False,False
 ,['math.h'],long double,"['long double y', 'long double x']",2,False,True,False
atanf,['math.h'],float,['float x'],1,False,False,False
 ,['math.h'],float,['float x'],1,False,True,False
atanh,['math.h'],double,['double x'],1,False,False,False
 ,['math.h'],double,['double x'],1,False,True,False
atanhf,['math.h'],float,['float x'],1,False,False,False
 ,['math.h'],float,['float x'],1,False,True,False
atanhl,['math.h'],long double,['long double x'],1,False,False,False
 ,['math.h'],long double,['long double x'],1,False,True,False
atanl,['math.h'],long double,['long double x'],1,False,False,False
 ,['math.h'],long double,['long double x'],1,False,True,False
atof,['stdlib.h'],double,['const char *nptr'],1,False,False,False
 ,['stdlib.h'],double,['const char *str'],1,False,True,False
atoi,['stdlib.h'],int,['const char *nptr'],1,False,False,False
